Unnamed: 0,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI,gene_ens
1260,TSPAN15,0.285714286,0.0,0.0,0.0,0.0,0.0,0.0,-0.194451117,-0.239753503,0,-0.920950334,0.0,0,ENSG00000099282
1261,MAST3,0.111111111,0.0,0.111111111,0.0,0.0,0.0,0.0,-0.110344592,-0.239753503,0,-0.242244029,0.5,32,ENSG00000099308
1262,MYO9B,0.117647059,0.0,0.5,0.0,0.0,0.0,0.0,-0.078040626,-0.239753503,0,1.793874888,0.80952381,37,ENSG00000099331
1263,CATSPERG,0.042553191,0.0,0.085106383,0.0,0.0,0.0,0.0,0.145902975,-0.239753503,0,0.436462277,0.666666667,1,ENSG00000099338
1264,SETD1A,0.0,0.0,0.166666667,0.0,0.0,0.0,0.0,0.090828167,-0.239753503,0,-0.242244029,1.0,32,ENSG00000099381
1265,EFNA2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.232065989,5.319674158,0,-0.242244029,1.0,12,ENSG00000099617
1266,CIRBP,0.0,0.520833333,0.041666667,0.0,0.0,0.0,0.0,0.33390606,-0.239753503,0,-0.242244029,1.0,25,ENSG00000099622
1267,IGFALS,0.078947368,0.0,0.0,0.0,0.0,0.0,0.0,0.035287847,-0.239753503,0,-0.920950334,0.0,0,ENSG00000099769
1268,NDUFB7,0.0,0.0,0.038461538,0.0,0.0,0.0,0.0,0.262712347,-0.239753503,0,-0.242244029,1.0,14,ENSG00000099795
1269,CDC34,0.0,0.0,0.428571429,0.0,0.0,0.0,0.0,0.357631347,-0.239753503,0,-0.242244029,1.0,62,ENSG00000099804
1270,MTAP,0.181818182,0.0,0.227272727,0.0,0.0,0.0,0.0,-0.064615011,-0.239753503,0,-0.242244029,0.555555556,3,ENSG00000099810
1271,CEP170B,0.333333333,0.0,0.666666667,0.0,0.0,0.0,0.0,0.199715843,-0.239753503,0,0.436462277,0.666666667,12,ENSG00000099814
1272,POLR2E,0.0,0.0,0.208333333,0.0,0.0,0.0,0.0,0.097424026,-0.239753503,0,-0.242244029,1.0,57,ENSG00000099817
1273,POLRMT,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.35811918,-0.239753503,0,-0.242244029,1.0,26,ENSG00000099821
1274,CDHR5,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.002550087,-0.239753503,0,-0.920950334,0.0,0,ENSG00000099834
1275,PALM,0.428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.065231189,-0.239753503,0,-0.920950334,0.0,0,ENSG00000099864
